timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-19T00:00:00.000Z";"2023-08-19T23:59:59.999Z";"2023-08-19T17:01:00.000Z";"2023-08-19T02:24:00.000Z";0.5786129347;0.5966429475;0.574306408;0.5913820143;15841462.06;136583041.39;"2023-08-19T23:59:59.999Z"
"2023-08-18T00:00:00.000Z";"2023-08-18T23:59:59.999Z";"2023-08-18T00:10:00.000Z";"2023-08-18T19:43:00.000Z";0.603941836;0.6056469117;0.574304839;0.5785961926;31349134.44;133629730.96;"2023-08-18T23:59:59.999Z"
"2023-08-17T00:00:00.000Z";"2023-08-17T23:59:59.999Z";"2023-08-17T06:02:00.000Z";"2023-08-17T21:46:00.000Z";0.6773918115;0.6848100963;0.5768741681;0.6039019592;32717550.82;139473967.47;"2023-08-17T23:59:59.999Z"
"2023-08-16T00:00:00.000Z";"2023-08-16T23:59:59.999Z";"2023-08-16T00:24:00.000Z";"2023-08-16T22:01:00.000Z";0.729584674;0.7324753926;0.6688970103;0.6774306805;30251465.85;156455444.34;"2023-08-16T23:59:59.999Z"
"2023-08-15T00:00:00.000Z";"2023-08-15T23:59:59.999Z";"2023-08-15T04:07:00.000Z";"2023-08-15T20:06:00.000Z";0.7749938319;0.7839869035;0.7211977224;0.7295032037;31146070.97;168481014.82;"2023-08-15T23:59:59.999Z"
"2023-08-14T00:00:00.000Z";"2023-08-14T23:59:59.999Z";"2023-08-14T16:32:00.000Z";"2023-08-14T00:25:00.000Z";0.7392804236;0.7992192581;0.7363849323;0.7750606658;37580102.31;179001993;"2023-08-14T23:59:59.999Z"
"2023-08-13T00:00:00.000Z";"2023-08-13T23:59:59.999Z";"2023-08-13T01:01:00.000Z";"2023-08-13T22:43:00.000Z";0.7556025303;0.7657630962;0.7337410272;0.7393577975;17975200.36;170755169.24;"2023-08-13T23:59:59.999Z"
"2023-08-12T00:00:00.000Z";"2023-08-12T23:59:59.999Z";"2023-08-12T23:01:00.000Z";"2023-08-12T00:15:00.000Z";0.7167962963;0.7600248265;0.7122676092;0.7556538659;22752992.14;174508705.59;"2023-08-12T23:59:59.999Z"
"2023-08-11T00:00:00.000Z";"2023-08-11T23:59:59.999Z";"2023-08-11T01:01:00.000Z";"2023-08-11T16:48:00.000Z";0.7139639213;0.7203555016;0.7033162503;0.7168179505;15415628.93;165535966.14;"2023-08-11T23:59:59.999Z"
"2023-08-10T00:00:00.000Z";"2023-08-10T23:59:59.999Z";"2023-08-10T14:04:00.000Z";"2023-08-10T15:27:00.000Z";0.7158504542;0.7312806749;0.7074255056;0.7139829792;25191461.08;164880970.07;"2023-08-10T23:59:59.999Z"
"2023-08-09T00:00:00.000Z";"2023-08-09T23:59:59.999Z";"2023-08-09T02:04:00.000Z";"2023-08-09T21:16:00.000Z";0.7227107929;0.7271503842;0.7041453613;0.7158759684;18314011.41;165317460.41;"2023-08-09T23:59:59.999Z"
"2023-08-08T00:00:00.000Z";"2023-08-08T23:59:59.999Z";"2023-08-08T18:26:00.000Z";"2023-08-08T10:16:00.000Z";0.7101241136;0.7331003537;0.6995534148;0.7227315741;32376651.1;166900108.51;"2023-08-08T23:59:59.999Z"
"2023-08-07T00:00:00.000Z";"2023-08-07T23:59:59.999Z";"2023-08-07T13:40:00.000Z";"2023-08-07T16:49:00.000Z";0.6852059913;0.7127043067;0.6808652467;0.7100952126;32854716.53;163979583.66;"2023-08-07T23:59:59.999Z"
"2023-08-06T00:00:00.000Z";"2023-08-06T23:59:59.999Z";"2023-08-06T21:25:00.000Z";"2023-08-06T02:01:00.000Z";0.6773025316;0.6915755733;0.6741650593;0.6852138353;14739214.38;158232947.19;"2023-08-06T23:59:59.999Z"
"2023-08-05T00:00:00.000Z";"2023-08-05T23:59:59.999Z";"2023-08-05T11:49:00.000Z";"2023-08-05T21:01:00.000Z";0.6951820671;0.6980240825;0.6769576408;0.6773075212;19741681.52;156399465.95;"2023-08-05T23:59:59.999Z"
"2023-08-04T00:00:00.000Z";"2023-08-04T23:59:59.999Z";"2023-08-04T15:52:00.000Z";"2023-08-04T20:53:00.000Z";0.7009849868;0.7060608944;0.6869212363;0.6951847805;14604090.39;160527110.69;"2023-08-04T23:59:59.999Z"
