timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-08-19T00:00:00.000Z";"2023-08-19T23:59:59.999Z";"2023-08-19T16:59:00.000Z";"2023-08-19T07:34:00.000Z";1.3152402837;1.3272200562;1.3020542603;1.3200371116;16982541.62;292894603.6;"2023-08-19T23:59:59.999Z"
"2023-08-18T00:00:00.000Z";"2023-08-18T23:59:59.999Z";"2023-08-18T00:17:00.000Z";"2023-08-18T17:23:00.000Z";1.3427889757;1.3487334898;1.3111709385;1.3153123246;23698543.12;282530425.3;"2023-08-18T23:59:59.999Z"
"2023-08-17T00:00:00.000Z";"2023-08-17T23:59:59.999Z";"2023-08-17T00:00:00.000Z";"2023-08-17T21:52:00.000Z";1.4227649847;1.4227649847;1.3152508948;1.3426235584;28596914.83;288277082.37;"2023-08-17T23:59:59.999Z"
"2023-08-16T00:00:00.000Z";"2023-08-16T23:59:59.999Z";"2023-08-16T00:28:00.000Z";"2023-08-16T21:24:00.000Z";1.4572513714;1.4597218237;1.4168018127;1.4224503627;19685585.39;305195695.07;"2023-08-16T23:59:59.999Z"
"2023-08-15T00:00:00.000Z";"2023-08-15T23:59:59.999Z";"2023-08-15T01:15:00.000Z";"2023-08-15T20:14:00.000Z";1.4901208902;1.4903085687;1.4534511666;1.4574853255;23430200.02;312818118.69;"2023-08-15T23:59:59.999Z"
"2023-08-14T00:00:00.000Z";"2023-08-14T23:59:59.999Z";"2023-08-14T23:42:00.000Z";"2023-08-14T02:24:00.000Z";1.4714016688;1.4904055687;1.4680000525;1.4900117664;19824218.71;319487330.9;"2023-08-14T23:59:59.999Z"
"2023-08-13T00:00:00.000Z";"2023-08-13T23:59:59.999Z";"2023-08-13T20:08:00.000Z";"2023-08-13T00:43:00.000Z";1.4592808975;1.4824595414;1.4583298824;1.4713103029;20417961.04;314272237.73;"2023-08-13T23:59:59.999Z"
"2023-08-12T00:00:00.000Z";"2023-08-12T23:59:59.999Z";"2023-08-12T15:36:00.000Z";"2023-08-12T00:16:00.000Z";1.4603629314;1.4689212912;1.458782338;1.4593106414;11140146.04;311715125.62;"2023-08-12T23:59:59.999Z"
"2023-08-11T00:00:00.000Z";"2023-08-11T23:59:59.999Z";"2023-08-11T01:30:00.000Z";"2023-08-11T18:49:00.000Z";1.4706588252;1.4747711871;1.4536390401;1.4606097497;13397187.11;311702534.19;"2023-08-11T23:59:59.999Z"
"2023-08-10T00:00:00.000Z";"2023-08-10T23:59:59.999Z";"2023-08-10T01:42:00.000Z";"2023-08-10T22:19:00.000Z";1.4898335423;1.4919747189;1.4688043571;1.4705552066;14285911.84;313655963.96;"2023-08-10T23:59:59.999Z"
